Selected Model	OTU_IDs	Lean_minus_Not_Lean_mean	Significant Group	BIC value of Selected Model (Lowest)	q-value for selected model	taxonomy	# of 0's in Lean	# of 0's in Not_Lean	# of non-zeroes in Lean	# of non-zeroes in Not_Lean	Total count in Lean	Total count in Not_Lean
NB	196736	0.842548435171386	Lean	217.243854988997	0.00240033060298607	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	49	213	12	7	55	13
NB	178957	-1.03248882265276	Not_Lean	473.385372857514	0.0483423150206729	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	59	178	2	42	8	256
Poisson	199212	0.105663189269747	Lean	78.3881228134891	0.0083154110572203	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	54	218	7	2	7	2
NB	198625	0.439046199701937	Lean	152.365691915092	0.0359666460633939	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	56	212	5	8	29	8
NB	199534	0.813338301043219	Lean	173.3150753145	6.99921431569204e-05	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	49	217	12	3	51	5
NB	4366089	1.10387481371088	Lean	175.764498882036	0.000106118308836578	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	51	215	10	5	69	6
NB	237444	9.05633383010432	Lean	1092.92755993335	0.0108596400452849	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	31	133	30	87	731	644
NB	178064	7.72332339791356	Lean	530.784562424063	0.00145682025104149	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	38	197	23	23	508	133
Poisson	299620	0.0892697466467958	Lean	76.68059226342	0.0171521205807041	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	57	218	4	2	6	2
NB	181016	10.4628912071535	Lean	581.723222897981	0.0218568525502505	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	39	195	22	25	707	248
NB	178213	-4.84806259314456	Not_Lean	619.963331558474	6.41152551038635e-05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__ruminis	59	176	2	44	4	1081
NB	175630	0.70618479880775	Lean	354.042343880958	0.0430067524573648	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	43	199	18	21	55	43
NB	186732	10.8589418777943	Lean	1022.80102606429	0.0161670365908467	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	37	138	24	82	849	673
Poisson	584951	0.072876304023845	Lean	70.4792846803492	0.0376708470821392	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	57	218	4	2	5	2
NB	194875	5.43479880774963	Lean	765.355349219628	0.00459102492477712	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	36	161	25	59	405	265
NB	348622	2.63025335320417	Lean	88.9527012544165	0.0206136724698996	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__	58	218	3	2	161	2
NB	185020	0.309687034277198	Lean	111.42176298346	0.049132689699282	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	56	216	5	4	20	4
Poisson	334797	0.0938152011922504	Lean	65.2796315318352	0.02082974740708	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	56	219	5	1	6	1
NB	363442	8.92280178837556	Lean	765.553526822407	0.0107971477148153	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	40	166	21	54	643	356
NB	2987636	4.09500745156483	Lean	539.853458392598	0.0218258650125981	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	41	190	20	30	290	145
ZINB	179350	0.620640834575261	Lean	324.195820581491	0.000196260498961001	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	56	194	5	26	52	51
NB	339566	0.154843517138599	Lean	92.4096186511375	0.049132689699282	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	55	218	6	2	10	2
NB	176947	2.08412816691505	Lean	621.698516033451	0.0219077067831763	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	44	160	17	60	169	151
NB	363035	0.89903129657228	Lean	197.629607827306	0.0365927822747428	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	55	210	6	10	59	15
NB	188057	-3.31393442622951	Not_Lean	873.256164672095	0.0243326193271661	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	46	143	15	77	51	913
ZINB	191355	40.7120715350224	Lean	1543.07317200121	8.41282992813604e-06	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	32	112	29	108	3028	1964
NB	360890	1.46028315946349	Lean	381.19427926134	0.000722749307927157	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	42	198	19	22	101	43
NB	193279	1.37175856929955	Lean	636.851124854653	0.0220994213224643	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__	34	166	27	54	120	131
NB	4456702	0.254172876304024	Lean	168.582815956452	0.0220994213224643	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	52	212	9	8	18	9
NB	178082	3.65119225037258	Lean	716.17952883194	0.0157956016577601	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	43	159	18	61	284	221
Poisson	336063	0.0892697466467958	Lean	75.2942979023001	0.0171521205807041	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	56	218	5	2	6	2
ZINB	361927	0.830476900149031	Lean	351.573576941829	0.0280678138579603	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	57	195	4	25	77	95
NB	4439360	3.90730253353204	Lean	260.351593407643	0.00125624027192491	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	52	209	9	11	245	24
NB	839610	2.67228017883756	Lean	770.072503908611	0.0366690210111382	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	41	149	20	71	229	238
NB	772282	16.8786140089419	Lean	1425.08785024321	0.00598268277153421	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	16	124	45	96	1387	1289
Poisson	4453609	0.235022354694486	Lean	146.869428250512	1.91262512327231e-05	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	49	214	12	6	16	6
NB	187180	6.37645305514158	Lean	547.662054074411	0.0045285012630525	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	43	189	18	31	430	148
NB	366633	0.684277198211624	Lean	345.89782201933	0.0108596400452849	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	46	195	15	25	52	37
NB	331411	1.49642324888227	Lean	607.618051112856	0.0133344095563793	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	34	173	27	47	124	118
